condition,i,j,cosine
sparse,19,28,0.9342418909072876
sparse,19,29,0.8804693818092346
sparse,20,21,0.8815634250640869
sparse,20,22,0.8995952606201172
sparse,20,23,0.8614388704299927
sparse,20,24,0.09150318801403046
sparse,20,25,0.8526191711425781
sparse,20,26,0.8731496334075928
sparse,20,27,0.8656830191612244
sparse,20,28,0.8889292478561401
sparse,20,29,0.8430902361869812
sparse,21,22,0.9482401609420776
sparse,21,23,0.907638430595398
sparse,21,24,0.11701734364032745
sparse,21,25,0.9332236051559448
sparse,21,26,0.8991912603378296
sparse,21,27,0.9202924966812134
sparse,21,28,0.9249067902565002
sparse,21,29,0.9032953381538391
sparse,22,23,0.8672956228256226
sparse,22,24,0.11943024396896362
sparse,22,25,0.9390213489532471
sparse,22,26,0.8877919912338257
sparse,22,27,0.9303628206253052
sparse,22,28,0.9062333106994629
sparse,22,29,0.900200366973877
sparse,23,24,0.10557190328836441
sparse,23,25,0.8809804916381836
sparse,23,26,0.9031069874763489
sparse,23,27,0.8792721033096313
sparse,23,28,0.9145265221595764
sparse,23,29,0.8611963987350464
sparse,24,25,0.11746442317962646
sparse,24,26,0.10101272910833359
sparse,24,27,0.11939298361539841
sparse,24,28,0.08108936250209808
sparse,24,29,0.14297153055667877
sparse,25,26,0.8671702146530151
sparse,25,27,0.9422962069511414
sparse,25,28,0.911428689956665
sparse,25,29,0.9191234111785889
sparse,26,27,0.8780211210250854
sparse,26,28,0.9034676551818848
sparse,26,29,0.815056324005127
sparse,27,28,0.9079529047012329
sparse,27,29,0.9128997325897217
sparse,28,29,0.8434743881225586
dense,0,1,0.5426812171936035
dense,0,2,0.504260778427124
dense,0,3,0.504030168056488
dense,0,4,0.37171047925949097
dense,0,5,-0.007334408350288868
dense,0,6,-0.007334408350288868
dense,0,7,0.5414947271347046
dense,0,8,-0.007334408350288868
dense,0,9,-0.007334408350288868
dense,0,10,0.6474924683570862
dense,0,11,0.3543660342693329
dense,0,12,0.5225521922111511
dense,0,13,0.4844006896018982
dense,0,14,0.47315695881843567
dense,0,15,-0.007334408350288868
dense,0,16,0.4811819791793823
dense,0,17,0.4256092309951782
dense,0,18,0.33599501848220825
dense,0,19,0.306792289018631
dense,0,20,-0.0073344511911273
